Station,City,Date,Avg_Temp
USS0012B12S,"MOUNT LOCKHART, MT US",1/1/21,31
USR0000MBCB,"BC BALDY MONTANA, MT US",1/1/21,30
USS0011C04S,"TIZER BASIN, MT US",1/1/21,30
USS0011C02S,"PICKFOOT CREEK, MT US",1/1/21,30
USR0000MSMI,"SMITH CREEK MONTANA, MT US",1/1/21,30
USR0000MBRA,"BRADSHAW CREEK MONTANA, MT US",1/1/21,30
USR0000MLRC,"LITTLE ROCK CREEK MONTANA, MT US",1/1/21,30
USS0015A08S,"BANFIELD MOUNTAIN, MT US",1/1/21,30
USS0009D16S,"COLE CREEK, MT US",1/1/21,30
USS0010C03S,"PORCUPINE, MT US",1/1/21,29
USS0010D35S,"BRACKETT CREEK, MT US",1/1/21,29
USS0014A12S,"STAHL PEAK, MT US",1/1/21,29
USS0015C10S,"HOODOO BASIN, MT US",1/1/21,29
USS0013C39S,"DALY CREEK, MT US",1/1/21,29
USR0000MLIS,"LITTLE SNOWY MONTANA, MT US",1/1/21,29
USS0013B07S,"NORTH FORK JOCKO, MT US",1/1/21,29
USR0000MPOP,"POPLAR MONTANA, MT US",1/1/21,29
USR0000MWHH,"WHITEHALL MONTANA, MT US",1/1/21,29
USS0013C31S,"N FK ELK CREEK, MT US",1/1/21,29
USS0014C12S,"TWIN LAKES, MT US",1/1/21,29
USS0014B04S,"BLACKTAIL MOUNTAIN, MT US",1/1/21,29
USS0009C01S,"CRYSTAL LAKE, MT US",1/1/21,28
USS0015A03S,"HAWKINS LAKE, MT US",1/1/21,28
USW00024135,"BUTTE BERT MOONEY AIRPORT, MT US",1/1/21,28
USR0000MSQU,"SHENANGO MONTANA, MT US",1/1/21,28
USW00094008,"GLASGOW INTERNATIONAL AIRPORT, MT US",1/1/21,28
USS0013C36S,"PETERSON MEADOWS, MT US",1/1/21,28
USS0013A19S,"FLATTOP MOUNTAIN, MT US",1/1/21,28
USS0013C13S,"BLACK PINE, MT US",1/1/21,28
USS0013A25S,"NOISY BASIN, MT US",1/1/21,28
USS0012B14S,"COPPER CAMP, MT US",1/1/21,28
USS0013B24S,"MOSS PEAK, MT US",1/1/21,28
USS0013A15S,"BADGER PASS, MT US",1/1/21,28
USS0010C08S,"S FORK SHIELDS, MT US",1/1/21,27
USR0000MENN,"ENNIS MONTANA, MT US",1/1/21,27
USR0000MGAL,"GALENA MONTANA, MT US",1/1/21,27
USS0014D02S,"NEZ PERCE CAMP, MT US",1/1/21,27
USS0012C22S,"NEVADA RIDGE, MT US",1/1/21,27
USS0013D26S,"CALVERT CREEK, MT US",1/1/21,27
USR0000MFOH,"FORT HOWES MONTANA, MT US",1/1/21,26
USS0010C27S,"ELK PEAK, MT US",1/1/21,26
USS0010C15S,"DAISY PEAK, MT US",1/1/21,26
USR0000MTPT,"TEPEE POINT MONTANA, MT US",1/1/21,26
USS0010C09S,"DEADMAN CREEK, MT US",1/1/21,26
USS0012D09S,"BASIN CREEK, MT US",1/1/21,26
USS0013C03S,"SKALKAHO SUMMIT, MT US",1/1/21,26
USR0000MGIR,"GIRD POINT MONTANA, MT US",1/1/21,26
USS0013C43S,"WARM SPRINGS, MT US",1/1/21,26
USS0013C44S,"BARKER LAKES, MT US",1/1/21,26
USS0011D28S,"ALBRO LAKE, MT US",1/1/21,25
USS0010D31S,"BOX CANYON, MT US",1/1/21,25
USS0011D11S,"LOWER TWIN, MT US",1/1/21,25
USS0013C01S,"STUART MOUNTAIN, MT US",1/1/21,25
USR0000MTIM,"TIMBERCREST MONTANA, MT US",1/1/21,24
USS0010C22S,"ONION PARK, MT US",1/1/21,24
USW00024138,"DILLON AIRPORT, MT US",1/1/21,24
USR0000MBIG,"BIGHORN MOUNTAIN MONTANA, MT US",1/1/21,24
USS0012C11S,"ROCKER PEAK, MT US",1/1/21,24
USS0012D11S,"MULE CREEK, MT US",1/1/21,24
USS0010D13S,"LICK CREEK, MT US",1/1/21,23
USS0010C23S,"STRINGER CREEK, MT US",1/1/21,23
USS0011C01S,"BOULDER MOUNTAIN, MT US",1/1/21,23
USS0011E07S,"WEST YELLOWSTONE, MT US",1/1/21,22
USS0010D16S,"SHOWER FALLS, MT US",1/1/21,22
USS0010C06S,"SPUR PARK, MT US",1/1/21,22
USS0013D10S,"BLOODY DICK, MT US",1/1/21,22
USR0000MBRE,"BRENNER MONTANA, MT US",1/1/21,22
USS0011E30S,"WHISKEY CREEK, MT US",1/1/21,21
USR0000MFRE,"FRENCH CREEK MONTANA, MT US",1/1/21,21
USS0013E23S,"LEMHI RIDGE, MT US",1/1/21,21
USR0000MWIC,"WICKED CREEK MONTANA, MT US",1/1/21,21
USS0010D24S,"PLACER BASIN, MT US",1/1/21,20
USS0012E08S,"BEAGLE SPRINGS, MT US",1/1/21,20
USR0000MDEE,"DEER MOUNTAIN WEST MONTANA, MT US",1/1/21,20
USR0000MMED,"MEDICINE LAKE MONTANA, MT US",1/1/21,20
USS0013D19S,"DARKHORSE LAKE, MT US",1/1/21,20
USS0011D08S,"CLOVER MEADOW, MT US",1/1/21,20
USS0011D19S,"LONE MOUNTAIN, MT US",1/1/21,19
USR0000MPPH,"PORPHYRY MONTANA, MT US",1/1/21,19
USR0000MHEB,"HEBGEN LAKE MONTANA, MT US",1/1/21,19
USS0011E31S,"MADISON PLATEAU, MT US",1/1/21,18
USS0011E39S,"SHORT CREEK, MT US",1/1/21,18
USS0011E38S,"BEAVER CREEK, MT US",1/1/21,17
USS0011E35S,"BLACK BEAR, MT US",1/1/21,17
USS0011E03S,"LAKEVIEW RIDGE, MT US",1/1/21,17
USR0000MRED,"RED ROCK MONTANA, MT US",1/1/21,16
USR0000MBLU,"BLUFF CREEK MONTANA, MT US",1/1/21,16
USR0000MANT,"ANTELOPE MONTANA, MT US",1/1/21,16
USS0010D07S,"NORTHEAST ENTRANCE, MT US",1/1/21,15
USS0009D06S,"FISHER CREEK, MT US",1/1/21,15
USS0010D12S,"MONUMENT PEAK, MT US",1/1/21,14
USS0012E07S,"DIVIDE, MT US",1/1/21,14
USS0011E24S,"TEPEE CREEK, MT US",1/1/21,14
USS0011E29S,"CARROT BASIN, MT US",1/1/21,13
USS0009D08S,"WHITE MILL, MT US",1/1/21,13
USR0000MYEL,"YELLOW MULE MONTANA, MT US",1/1/21,12
USR0000MMIS,"MISSOULA FTS MONTANA, MT US",1/1/21,33
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",1/1/21,32
USR0000MFOR,"FORT BELKNAP MONTANA, MT US",1/2/21,45
USW00094012,"HAVRE AIRPORT ASOS, MT US",1/2/21,44
USR0000MROC,"ROCKY BOY MONTANA, MT US",1/2/21,42
USW00024143,"GREAT FALLS AIRPORT, MT US",1/2/21,42
USR0000MDRY,"DRY BLOOD CREEK MONTANA, MT US",1/2/21,42
USR0000MARM,"ARMELLS CREEK MONTANA, MT US",1/2/21,42
